iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Shopper Testing","shoppers","POST","https://www.shoppersstack.com/shopping/shoppers","Created","201","858","292","Status code is 201, Message is Created, Data object is present, userId is present, Email is present, Role is SHOPPER, Status is ACTIVE, First and last names are correct",,,"8","8","0","0"
"1","Shopper Testing","users/login","POST","https://www.shoppersstack.com/shopping/users/login","OK","200","336","436","check if Responses returns status code 200, check if Responses returns value for userId, check if Responses returns value for email, Save jwtToken in Collection Variables, Save userId in collection Variables",,,"5","5","0","0"
"1","Shopper Testing","get shopper by shopperId","GET","https://www.shoppersstack.com/shopping/shoppers/330436","OK","200","190","470","createdDateTime is not null, role is SHOPPER","save token to collection variable",,"3","2","1","0"
"1","Shopper Testing","UpdateShopperDetails","PATCH","https://www.shoppersstack.com/shopping/shoppers/329768","OK","200","203","281","Verify the updated name is returned in the response body, Verify the status code and response message",,,"2","2","0","0"
"1","Shopper Testing","forgot-password","POST","https://www.shoppersstack.com/shopping/users/forgot-password","Internal Server Error","500","359","122",,,,"0","0","0","0"
"1","Shopper Testing","/reset-password","POST","https://www.shoppersstack.com/shopping/users/reset-password","Bad Request","400","163","0",,,,"0","0","0","0"
"1","Shopper Testing","SetNewPassword","POST","https://www.shoppersstack.com/shopping/users/verify-account?token=","Internal Server Error","500","210","121",,,,"0","0","0","0"
"1","Shopper Testing","products","GET","https://www.shoppersstack.com/shopping/products?zoneId=ALPHA","OK","200","3469","1191593","Product ID 16702 exists, Product ID 27 has type boys-tshirt",,,"2","2","0","0"
"1","Shopper Testing","default products","GET","https://www.shoppersstack.com/shopping/products/alpha?zoneId=ALPHA","OK","200","2917","1191593","Status code is 200, Response has valid data structure, Review with reviewId 19790 is present",,,"3","3","0","0"
"1","Shopper Testing","Get all the addresses of the specified User with ID","GET","https://www.shoppersstack.com/shopping/shoppers/236153/address","OK","200","163","285","Verify data is not null, Verify data is an array, Verify data array has at least one element, Verify the first element in the data array has the correct addressId",,,"4","4","0","0"
